frame,left_wrist_movement,right_wrist_movement,left_ankle_movement,right_ankle_movement,left_shoulder_movement,right_shoulder_movement,left_hip_movement,right_hip_movement,total_movement
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.14622570461406284,0.19208816245643814,0.03658915794217306,0.02684899490966013,0.011520273333201637,0.012088219044936675,0.022696726564412177,0.04150197788560084,0.4895592167504855
3,0.028974177653172242,0.24372430675357082,0.04725867074630719,0.010238890701920895,0.0021583734979921934,0.003576161583986209,0.018334788609929886,0.013181667467279902,0.3674470370141593
4,0.04251914522061172,0.13101582387865826,0.05571227615354894,0.005278885364868961,0.0030330200288789396,0.00559283326248317,0.010073119798321093,0.026771766765295378,0.2799968704726664
5,0.032739744912755026,0.06644726156544804,0.014634712468946164,0.031677311676290114,0.002780237103008894,0.005280824909011637,0.0059469620402637,0.007469926764590052,0.16697698144031364
6,0.014864152586633737,0.04705878118349781,0.015026219931155152,0.027150911015236437,0.0004413530608627328,0.0023560230582093857,0.002927230063611457,0.005037365231105838,0.11486203613031254
7,0.0339785328795438,0.06201858449206806,0.02021670848628855,0.0007157234516627022,0.004248851246737944,0.0054799897517043205,0.02459603203821679,0.00335967818432477,0.15461410053054694
8,0.015685849282006833,0.04964361340832175,0.011775864671186017,0.06679136691752177,0.004381288122324044,0.0018014477562841625,0.021156700537758054,0.015324339075618665,0.1865604697710213
9,0.0646966573491187,0.02146215622660053,0.08129771774220543,0.0046822799115820825,0.011445510621279248,0.0003587098025939124,0.008845984219071757,0.003409305209373254,0.1961983210818249
10,0.014768226628202834,0.027395032436601283,0.02368328777560556,0.04838309097594959,0.0023951544881563864,0.0017319213415677584,0.0034546841956606717,0.016118617882608866,0.13793001572435296
11,0.1392286740266341,0.12291645403767235,0.09123578620705927,0.008032997186269545,0.024056892519607083,0.0021109041255130833,0.011829305563712296,0.006589843378228591,0.40600085704469635
12,0.09176588651592806,0.10972202113638478,0.11835130437606887,0.07453764209283023,0.016865076442077836,0.007909651430723377,0.006067489999671631,0.008751756061422766,0.4339708280551075
13,0.09520192308755823,0.09760423919666923,0.12192154890187656,0.15668890679805864,0.033734339361295704,0.00903654496127552,0.013944312916022633,0.035370038125578845,0.5635018533483352
