frame,left_hand_raised,right_hand_raised,squat,leg_lift,arm_movement,left_elbow_angle,right_elbow_angle,average_knee_angle,arm_movement_amount,detected_move
1,False,False,True,False,False,172.9668141314385,2.9690336238583197,97.7789882565647,0.0,Squat
2,False,False,True,False,True,174.57047209336065,70.57620349089427,46.07073534781102,0.1691569335352505,Squat
3,False,False,True,False,True,175.053901898632,161.64056498312726,49.7526484453045,0.13634924220337152,Squat
4,False,False,True,False,True,174.08291415544474,143.81408822131797,34.300575231582314,0.08676748454963498,Squat
5,False,False,True,False,True,172.9888016819327,153.21215549101444,44.341704496331644,0.049593503239101534,Squat
6,False,False,True,False,True,173.08728841825982,153.6751952878321,47.90070459359516,0.03096146688506577,Squat
7,False,False,True,False,True,178.59485082658253,157.86639577624803,101.71722621872425,0.04799855868580593,Squat
8,False,False,True,False,True,179.6199748666801,154.1981674228509,77.53622383425567,0.03266473134516429,Squat
9,False,False,True,False,True,179.4657478161275,160.11174285889578,63.77959246147863,0.04307940678785961,Squat
10,False,False,True,False,True,177.06536692334677,158.33901537055968,51.83794973578562,0.021081629532402058,Squat
11,False,False,True,False,True,175.57730353805158,170.4760236617888,46.68815171117729,0.13107256403215323,Squat
12,False,False,True,False,True,177.88096477617518,70.52515318702916,57.63442128488761,0.10074395382615642,Squat
13,False,False,True,False,True,178.75555293258543,55.432625646516605,98.98520521983372,0.09640308114211374,Squat
14,False,False,False,False,True,176.52522131444914,39.65492494434912,122.82130445464873,0.08312928715946846,Arm Movement
15,False,False,True,False,True,177.56857010343955,2.498201136322891,23.34954638836461,0.1496984482957942,Squat
16,False,False,True,False,True,168.0469713967816,10.9067959187168,43.1950992187608,0.16939763612280434,Squat
17,False,False,True,False,True,174.69755285087345,19.200795466732824,111.46920548460184,0.11311653575736211,Squat
18,False,False,False,False,True,177.65670393168386,23.61557056485163,157.49912128557878,0.1091818925440775,Arm Movement
19,False,False,False,False,True,179.9809156975729,16.909124727978522,153.06917814382268,0.11983916090349594,Arm Movement
20,False,False,False,False,True,177.61705501404882,161.0990137562299,148.33988721143487,0.047630874767007336,Arm Movement
21,False,False,False,False,True,171.3806505221385,170.34240611997404,156.22224016412997,0.016137120986013564,Arm Movement
22,False,False,False,False,False,172.1123676261669,173.26660191786692,178.20461575684675,0.013670137546978904,Standing / Neutral
23,False,False,False,False,True,171.97646212960336,179.25317928438116,169.60504761957566,0.033397511457546575,Arm Movement
24,False,False,False,False,True,174.35261398808476,154.48924712534605,156.59809196278349,0.06408093542169802,Arm Movement
25,False,False,False,False,True,173.45101508662927,150.7669694648504,163.69107167321943,0.03446943913622827,Arm Movement
26,False,False,False,False,True,176.21631821451922,164.473190823797,170.8913483343175,0.055099815462966176,Arm Movement
27,False,False,False,False,True,177.29676024858702,146.40627332903384,176.55518235638777,0.023724753873504586,Arm Movement
28,False,False,False,False,True,178.8612233155049,167.4976947043316,176.88581622795306,0.05029444369692599,Arm Movement
29,False,False,False,False,True,177.15783818276412,160.6450885482796,171.05990087195772,0.01959532646415465,Arm Movement
30,False,False,False,False,True,176.13694270416678,161.37850838368357,165.05341735508063,0.03168373111942186,Arm Movement
31,False,False,False,False,True,170.35808886552053,158.41870961269797,169.29107721197386,0.031462657194911654,Arm Movement
32,False,False,False,False,True,166.2622918316234,161.37956151986606,175.03018023358152,0.019152724123065522,Arm Movement
33,False,False,False,False,True,164.88196937097388,172.18898436728645,176.4124772666731,0.02111113001885738,Arm Movement
34,False,False,False,False,True,165.63184494364654,176.64461957783774,175.58376266570957,0.01919073011201055,Arm Movement
35,False,False,False,False,False,163.81946784074313,172.23854220700963,175.61970391017206,0.011518044079410277,Standing / Neutral
36,False,False,False,False,True,159.438543325884,154.3135172246945,173.97326396978355,0.016304737287126496,Arm Movement
37,False,False,False,False,False,154.8501934393339,144.72012322370165,170.42114933253282,0.014850837799049412,Standing / Neutral
38,False,False,False,False,False,161.3934678081814,134.55005049729888,172.18148480272282,0.006669529945750299,Standing / Neutral
39,False,False,False,False,True,166.83665060977097,166.32329134303623,173.0661927938877,0.02579248747868115,Arm Movement
40,False,False,False,False,True,167.45956354672842,172.6752063400918,172.7978911944192,0.026790378161352775,Arm Movement
